,Date,Category,Section,Headline,Subheader,Term,URL
298,2010-08-24,Science,Science,Peeling Away Theories on Gender and the Brain,"Cordelia Fine is an acerbic critic, mincing no words when it comes to neuroscientists and popularizers she disagrees with.",Other,/2010/08/24/science/24scibks.html?searchResultPosition=337
299,2010-09-12,Arts,Fashion,The Anatomy of a Breakup,A partner transitions genders and a relationship changes and breaks.,Other,/2010/09/12/fashion/12Love.html?searchResultPosition=139
300,2010-10-08,US New,New York,Guard Held in Sexual Attack on Transgender Inmate,"The victim, a transgender woman, was improperly placed in a male housing unit of the jail, her lawyer complained.",Transgender,/2010/10/08/nyregion/08inmate.html?searchResultPosition=20
301,2010-10-13,Sports,Golf,Transgender Woman Sues L.P.G.A. Over Policy,"A transgender woman filed a federal lawsuit Tuesday against the L.P.G.A., arguing that its requirement that competitors be “female at birth” violates California civil rights law.",Transgender,/2010/10/13/sports/golf/13lawsuit.html?searchResultPosition=29
302,2010-10-25,US New,Politics,Advocates Hope Transgender Identity Is Not a Defining One,"Gains by transgender candidates are being hailed by advocates as both a sign of acceptance and, they hope, a sign that actual issues are being valued more than gender stereotypes.",Transgender,/2010/10/25/us/politics/25transgender.html?searchResultPosition=6
303,2010-11-02,Sports,College Basketball,Transgender Man Is on Women’s Team,"Kye Allums, a guard on George Washington’s women’s basketball team, may be the first Division I college basketball player to publicly compete as a transgender person.",Transgender,/2010/11/02/sports/ncaabasketball/02gender.html?searchResultPosition=10
304,2010-11-02,Sports,College Basketball,Transgender Man Is on Women’s Team,"Kye Allums, a guard on George Washington’s women’s basketball team, may be the first Division I college basketball player to publicly compete as a transgender person.",Transgender,/2010/11/02/sports/ncaabasketball/02gender.html?searchResultPosition=10
305,2010-11-05,US New,U.S.,California: Transgender Candidate Is New Judge,Voters in the San Francisco Bay Area elected the first transgender trial judge in the country.,Transgender,/2010/11/05/us/05brfs-Trans.html?searchResultPosition=13
306,2010-11-05,US New,U.S.,California: Transgender Candidate Is New Judge,Voters in the San Francisco Bay Area elected the first transgender trial judge in the country.,Transgender,/2010/11/05/us/05brfs-Trans.html?searchResultPosition=9
307,2010-11-07,Misc,Magazine,When Brother Becomes Sister,The sibling of a transsexual goes through a transformation of her own.,Transsexual,/2010/11/07/magazine/07lives-t.html?searchResultPosition=8
308,2010-12-02,Sports,Golf,L.P.G.A. Tour Accepts Transgender Players,L.P.G.A. players have voted to eliminate the tour’s requirement that players be “female at birth” and to allow transgender athletes to compete.,Transgender,/2010/12/02/sports/golf/02sportsbriefs-LPGATOURACCE_BRF.html?searchResultPosition=14
309,2010-12-02,Sports,Golf,L.P.G.A. Will Allow Transgender Players to Compete,"The L.P.G.A. was sued in October by Lana Lawless, a retired police officer who had gender reassignment surgery in 2005.",Transgender,/2010/12/02/sports/golf/02lpga.html?searchResultPosition=17
310,2010-12-02,Sports,Golf,L.P.G.A. Tour Accepts Transgender Players,L.P.G.A. players have voted to eliminate the tour’s requirement that players be “female at birth” and to allow transgender athletes to compete.,Transgender,/2010/12/02/sports/golf/02sportsbriefs-LPGATOURACCE_BRF.html?searchResultPosition=6
311,2010-12-02,Sports,Golf,L.P.G.A. Will Allow Transgender Players to Compete,"The L.P.G.A. was sued in October by Lana Lawless, a retired police officer who had gender reassignment surgery in 2005.",Transgender,/2010/12/02/sports/golf/02lpga.html?searchResultPosition=7
312,2010-12-09,Arts,Fashion,Bold Crossings of the Gender Line,There are visible bits of evidence that 2010 will be remembered as the year of the transsexual.,Transsexual,/2010/12/09/fashion/09TRANS.html?searchResultPosition=5
313,2010-12-09,Arts,Fashion,Bold Crossings of the Gender Line,There are visible bits of evidence that 2010 will be remembered as the year of the transsexual.,Transsexual,/2010/12/09/fashion/09TRANS.html?searchResultPosition=71
314,2010-12-28,Sports,Golf,Decision on Transgender Player,"More than two months after a transgender woman sued the Long Drivers of America claiming discrimination, the group said in a statement that it planned to follow a recent rule change by the L.P.G.A.",Transgender,/2010/12/28/sports/golf/28sportsbriefs-longdrive.html?searchResultPosition=4
315,2010-12-28,Sports,Golf,Decision on Transgender Player,"More than two months after a transgender woman sued the Long Drivers of America claiming discrimination, the group said in a statement that it planned to follow a recent rule change by the L.P.G.A.",Transgender,/2010/12/28/sports/golf/28sportsbriefs-longdrive.html?searchResultPosition=1
316,2011-01-06,US New,New York,A Son Confronts Gender Identity and a Mother Grieves,"Sharon Weir may not be happy that her son is openly gay and identifies himself as transgender, but she will fight for his right to exist in peace.",Transgender,/2011/01/06/nyregion/06neediest.html?searchResultPosition=171
317,2011-01-13,Arts,Fashion,Pushing Fashion Boundaries in an Era Without Any,Photographers who are worried that fashion has nothing significant to say have turned to gender-bending and exotically erotic models as a way to express their creative powers.,Other,/2011/01/13/fashion/13NOTEBOOK.html?searchResultPosition=345
318,2011-02-18,US New,U.S.,Lawyer Turns From Jon Burge to Another Form of Injustice,"Joey Mogul, a Chicago lawyer, has turned her attention to the plight of gay men, lesbians, bisexuals and transgender people in the criminal justice system.",Transgender,/2011/02/18/us/18cnctorture.html?searchResultPosition=111
319,2011-03-13,Life,Business,The Road to Acceptance,"A reader responds to “The Transition to My Real Self” (Preoccupations, March 6).",Other,/2011/03/13/business/13backpage-THEROADTOACC_LETTERS.html?searchResultPosition=427
320,2011-03-23,US New,New York,Suits Dispute City’s Rule on Recording Sex Changes,The city requires transgender people to have genital surgery if they want to change their sex identification on their birth certificates.,Transgender,/2011/03/23/nyregion/23gender.html?searchResultPosition=52
321,2011-04-11,US New,New York,A Lawsuit’s Unusual Question: Who Is a Man?,A lawsuit filed Friday by an employee who says he was dismissed for being transgender could turn on the question of who is or is not a man.,Transgender,/2011/04/11/nyregion/11sexchange.html?searchResultPosition=69
322,2011-04-16,US New,U.S.,California May Require Teaching of Gay History,"Advocates hope that teaching about gay, lesbian, bisexual and transgender people in schools would prevent bullying and shatter stereotypes.",Transgender,/2011/04/16/us/16schools.html?searchResultPosition=91
323,2011-04-30,Misc,Opinion,Crossing the Gender Frontier: Voices of Pioneers,Readers respond to a recent column Maureen Dowd on transgendered people.,Transgender,/2011/04/30/opinion/l30dowd.html?searchResultPosition=422
324,2011-05-04,Sports,Golf,Transgender Woman Settles Suit Against Two Organizations,"Lana Lawless, the transgender woman who sued the L.P.G.A. and the Long Drivers of America last October challenging their rule that competitors be “female at birth,” has settled her case, her lawyer said.",Transgender,/2011/05/04/sports/golf/04sportsbriefs-TRANSGENDERW_BRF.html?searchResultPosition=26
325,2011-05-08,Arts,Fashion,The Reluctant Transgender Role Model,"Sonny and Cher’s daughter, now a man, is the subject of a documentary of his transition from female to male.",Transgender,/2011/05/08/fashion/08CHAZ.html?searchResultPosition=19
326,2011-05-22,Arts,Fashion,Stuck at the Border Between the Sexes,The ideal of love got lost in the mess of analyzing gender and identity.,Other,/2011/05/22/fashion/stuck-at-the-border-between-the-sexes-modern-love.html?searchResultPosition=93
327,2011-05-23,US New,U.S.,"‘Coming Out’: Gay Teenagers, in Their Own Words","The project was initiated as an effort to better understand this generation of gay, lesbian, bisexual and transgender youths, and to explore its realities and expectations.",Transgender,/2011/05/23/us/23out.html?searchResultPosition=75
328,2011-05-27,US New,U.S.,"What Makes a Man (or Woman) in a Marriage License? In Texas, It’s Unclear","Texas bans same-sex marriage, but the issue of transgendered applicants for a marriage license has thrown a wrinkle into the ban.",Transgender,/2011/05/27/us/27tttrans.html?searchResultPosition=88
329,2011-06-12,Arts,Fashion,Boys Will Be Boys? Not in These Families,"When a son wants a tutu or a daughter wants to wear a tie, some parents try to support that gender-bending decision while also protecting their children from taunts.",Other,/2011/06/12/fashion/new-challenge-for-parents-childrens-gender-roles.html?searchResultPosition=194
330,2011-06-26,US New,U.S.,Celebration of Gay Pride Masks Community in Transition,"The gay community in San Francisco is at a complex crossroads. Assimilation is on the rise, but longtime gay and lesbian institutions are struggling.",Other,/2011/06/26/us/26bcjames.html?searchResultPosition=128
331,2011-06-27,US New,U.S.,Atlanta Closer in Distance Than in Philosophy on Gay Marriage,"Despite a large and vibrant community of gay, lesbian and transgender people in Atlanta, Georgia and its largest city are far from approving anything close to New York’s law.",Transgender,/2011/06/27/us/27atlanta.html?searchResultPosition=134
332,2011-06-30,US New,Politics,Obama’s News Conference,"The following is a transcript of Obama’s news conference in the East Wing, as provided by the White House.",Other,/2011/06/30/us/politics/30obama-news-conference-text.html?searchResultPosition=409
333,2011-07-17,Arts,Movies,Week Ahead in Film,"A look ahead at NewFest, the New York Lesbian, Gay, Bisexual, and Transgender Film Festival.",Transgender,/2011/07/17/movies/week-ahead-in-film.html?searchResultPosition=82
334,2011-07-31,Arts,Movies,"When They Play Women, It’s Not Just an Act",Harmony Santana is among a small group of openly transgender actors who are increasingly recognizable and finding a place on screen.,Transgender,/2011/07/31/movies/new-roles-for-transgender-performers.html?searchResultPosition=47
335,2011-08-06,Sports,Sports,"For Transgender Triathlete, a Top Finish in New York Is Secondary","Chris Mosier, who will compete in the New York City Triathlon for the first time as a male, was picked on in high school and college for adopting an androgynous appearance.",Transgender,/2011/08/06/sports/for-transgender-triathlete-a-top-finish-is-secondary.html?searchResultPosition=30
336,2011-08-12,Misc,Opinion,"We Want Cake, Too","As progress on equality for gay men and lesbians ripples through the country, one group has been prominently left behind: transgender people.",Transgender,/2011/08/12/opinion/we-want-cake-too.html?searchResultPosition=48
337,2011-08-14,Life,Love,"Idit Klein, Jordan Namerow","A Massachusetts wedding for the executive director of Keshet, a Boston organization that works for lesbian, gay, bisexual and transgender equality, and the senior communications associate of American Jewish World Service, an international relief organization in New York.",Transgender,/2011/08/14/fashion/weddings/idit-klein-jordan-namerow-weddings.html?searchResultPosition=77
338,2011-08-21,US New,New York,The High Price of Looking Like a Woman,"Some transgender women seek out practitioners who will illegally, and dangerously, inject them with silicone to achieve a more feminine appearance.",Transgender,/2011/08/21/nyregion/some-transgender-women-pay-a-high-price-to-look-more-feminine.html?searchResultPosition=63
339,2011-08-22,Misc,Opinion,Equality for Transgenders,Readers respond to a column on civil rights for transgender Americans.,Transgender,/2011/08/22/opinion/beyond-the-bedroom-equality-for-transgenders.html?searchResultPosition=37
340,2011-08-28,Misc,Sunday Review,Glittering Rage,"Glitter bombing is the latest act of political theater from the lesbian, gay, bisexual and transgender rights movement.",Transgender,/2011/08/28/opinion/sunday/glitter-a-kinder-gentler-prank.html?searchResultPosition=97
341,2011-09-04,Arts,Book Review,Gender-Free,Justin Vivian Bond recalls the ups and downs of being a “trans child.”,Other,/2011/09/04/books/review/tango-my-childhood-backwards-and-in-high-heels-by-justin-vivian-bond-book-review.html?searchResultPosition=96
342,2011-09-12,US New,Americas,"Medical Schools Neglecting Gay Health Needs, Study Says","Medical school curricula in the United States and Canada devote an average of only five hours to the specific health care issues faced by lesbian, gay, bisexual and transgender patients, a survey shows.",Transgender,/2011/09/12/world/americas/12iht-educBriefs12.html?searchResultPosition=57
343,2011-09-13,Misc,Views,"For Many Older Gays, a Toll of Time and Isolation","A geriatrician reflects on the challenges facing the aging generation of gay, lesbian, bisexual and transgender people who are often more isolated than their heterosexual peers.",Transgender,/2011/09/13/health/views/13cases.html?searchResultPosition=81
344,2011-09-20,US New,U.S.,Out and Proud to Serve,"At 12:01 a.m. Tuesday, 1st Lt. Josh Seefried, who founded an undercover group of 4,000 gay, lesbian, bisexual and transgender active-duty service members, dropped his pseudonym.",Transgender,/2011/09/20/us/after-toiling-in-shadows-to-end-dont-ask-dont-tell-1st-lt-josh-seefried-greets-a-new-era.html?searchResultPosition=119
345,2011-10-02,Arts,Fashion,The Freedom to Choose Your Pronoun,A growing number of high school and college students are questioning the gender roles society assigns individuals simply because they have been born male or female.,Other,/2011/10/02/fashion/choosing-a-pronoun-he-she-or-other-after-curfew.html?searchResultPosition=85
346,2011-10-13,Arts,Theater Reviews,"Seeking Acceptance, and Family, in One’s Shifting Gender","A respectful adaptation of the 2001 documentary of the same name, “Southern Comfort” chronicles the final year in the life of Robert Eads, a female-to-male transsexual who has ovarian cancer.",Transsexual,/2011/10/13/theater/reviews/southern-comfort-at-cap21-black-box-theater-review.html?searchResultPosition=66
347,2011-11-26,Sports,Soccer,A First in Cup Qualifying for a Player and a Team,"Jonny Saelua, who is transgender, helped American Samoa to its first international victory with a 2-1 win over Tonga in World Cup qualifying on Tuesday.",Transgender,/2011/11/26/sports/soccer/jonny-saelua-transgender-player-helps-american-samoa-to-first-international-soccer-win.html?searchResultPosition=59
348,2011-11-27,US New,U.S.,Homeless Youth Struggles to Build a Life in Chicago,"Transgender and once a ward of the state, Juan Gallaher lost subsidized housing and other aid when he turned 21.",Transgender,/2011/11/27/us/transgender-and-homeless-youth-struggles-to-build-a-life.html?searchResultPosition=95
349,2011-11-27,US New,New York,"Schmekel, a Band Born as a Laugh","Schmekel, a band of transgender Jewish musicians, merges traditional Jewish forms like klezmer with the aggressive energy of early gay punk bands.",Transgender,/2011/11/27/nyregion/schmekel-a-band-born-as-a-laugh.html?searchResultPosition=103
350,2011-12-23,US New,U.S.,"For Transgender Detainees, a Jail Policy Offers Some Security","Cook County Jail has instituted a new policy for transgender detainees, which includes a panel that determines whether they should be housed with men or women.",Transgender,/2011/12/23/us/for-transgender-detainees-a-jail-policy-offers-some-security.html?searchResultPosition=27
351,2011-12-25,US New,U.S.,Manicures and Compassion for ‘Throwaway People’ in the Tenderloin,"A missionary group offers cosmetics and compassion to transgendered people and women in the Tenderloin nail salon, many of them former sex workers.",Transgender,/2011/12/25/us/manicures-and-compassion-for-throwaway-people-in-the-tenderloin.html?searchResultPosition=133
352,2011-12-30,US New,U.S.,2011 Was a Good Year for Causes of Gays,"The battle over same-sex marriage continues, but for other causes supported by lesbian, gay, bisexual and transgender groups, 2011 has been a particularly good year.",Transgender,/2011/12/30/us/for-lesbian-gay-bisexual-and-transgender-groups-2011-has-been-a-great-legislative-year.html?searchResultPosition=76
353,2012-01-16,Arts,Television,ABC Kills ‘Work It’,The critically panned cross-dressing comedy “Work It” has been canceled by ABC after only two episodes.,Other,/2012/01/16/arts/television/abc-kills-work-it.html?searchResultPosition=102
354,2012-02-07,Misc,Opinion,What Obama Should Do About Workplace Discrimination,President Obama should issue an executive order making nondiscrimination based on sexual orientation and gender identity a requirement for doing business with the American public.,Other,/2012/02/07/opinion/what-obama-should-do-about-workplace-discrimination.html?searchResultPosition=68
355,2012-02-19,Life,Love,"Brian Winfield, Kim Byrd","Both partners have been involved in organizations helping gay, lesbian, bisexual and transgender people.",Transgender,/2012/02/19/fashion/weddings/brian-winfield-kim-byrd-weddings.html?searchResultPosition=62
356,2012-03-21,Arts,Dance,Upending Notions of Gender Identity,"The Belgian company Les Ballets C de la B offers the American premiere of “Gardenia,” part of the Peak Performances series at Montclair State University.",Other,/2012/03/21/arts/dance/les-ballets-c-de-la-b-in-gardenia-at-montclair-state.html?searchResultPosition=161
357,2012-03-23,US New,New York,A Transgender Candidate Is Hoping to Make History,"Mel Wymore, a former community board chairman, prefers to talk about zoning and transportation, but says his situation gives him an added perspective.",Transgender,/2012/03/23/nyregion/mel-wymore-transgender-man-runs-for-new-york-council.html?searchResultPosition=20
358,2012-04-05,US New,U.S.,Anchorage Voters Reject Extension of Rights Protections to Gay Residents,"Proposition 5, a bill that would have added protections for people regardless of “sexual orientation or transgender identity” fell short in a citywide vote.",Transgender,/2012/04/05/us/proposition-5-gay-rights-anchorage-alaska.html?searchResultPosition=43
359,2012-04-12,US New,Politics,Obama Won’t Order Ban on Gay Bias by Employers,"Current law does not protect against discrimination based on sexual orientation or gender identity, and legislation to do so, which Mr. Obama endorses, lacks sufficient votes in Congress.",Other,/2012/04/12/us/politics/obama-wont-order-ban-on-gay-bias-by-employers.html?searchResultPosition=83
360,2012-04-13,Misc,Opinion,Sin of Omission,President Obama is inexcusably refusing to issue an executive order banning discrimination by federal contractors based on sexual orientation or gender identity.,Other,/2012/04/13/opinion/sin-of-omission.html?searchResultPosition=42
361,2012-04-19,Misc,Opinion,‘Name Change’,"The filmmaker Sharon Shattuck recalls the apprehension she experienced when her father, a transgender cross-dresser, decided to legally adopt a woman’s name.",Transgender,/2012/04/19/opinion/name-change.html?searchResultPosition=41
362,2012-04-25,US New,U.S.,Ruling Extends Sex-Discrimination Protection to Transgender Woman Denied Federal Job,The Equal Employment Opportunity Commission said gender-identity bias is illegal under Title VII of the Civil Rights Act of 1964.,Transgender,/2012/04/25/us/sex-discrimination-protection-extended-to-transgender-woman.html?searchResultPosition=28
363,2012-05-25,US New,Americas,Transgender Advocates Hail Law Easing Rules in Argentina,"A new law allows an easier path to sex reassignment surgery, putting in place some of the world’s most liberal rules on changing gender.",Transgender,/2012/05/25/world/americas/transgender-advocates-hail-argentina-law.html?searchResultPosition=18
364,2012-06-22,Arts,Art & Design,"Street Hustlers, in All Their Glamour and Grit","Christer Strömholm’s work, at the International Center of Photography, documents the subculture of cross-dressing young men in Paris in the mid-1950s.",Other,/2012/06/22/arts/design/christer-stromholm-at-international-center-of-photography.html?searchResultPosition=31
365,2012-07-01,Life,Love,"Xiomara Lorenzo, Cara Herbitter","A wedding at the Lesbian, Gay, Bisexual & Transgender Community Center in Manhattan.",Transgender,/2012/07/01/fashion/weddings/xiomara-lorenzo-cara-herbitter-weddings.html?searchResultPosition=64
366,2012-07-24,World News,Europe,Serbia Becomes a Hub for Sex-Change Surgery,A shift in social attitudes and an attractive price tag are helping turn the country into a global transgender surgery hub.,Transgender,/2012/07/24/world/europe/serbia-becomes-a-hub-for-sex-change-surgery.html?searchResultPosition=16
367,2012-07-25,US New,New York,"For Money or Just to Strut, Living Out Loud on a Transgender Stage","When the weather gets warm, members of the gay and transgender community gather on Christopher Street after dark to promenade, air kiss, catcall or brawl.",Transgender,/2012/07/25/nyregion/in-west-village-living-out-loud-on-a-transgender-runway.html?searchResultPosition=11
368,2012-07-27,Arts,Movies,NewFest Is Coming Out of the Margins,"For its 24th annual season, NewFest — which celebrates movies with lesbian, gay, bisexual and transgender material — is under the auspices of the Film Society of Lincoln Center.",Transgender,/2012/07/27/movies/newfest-gay-themed-films-at-lincoln-center.html?searchResultPosition=129
369,2012-08-12,Misc,Magazine,What’s So Bad About a Boy Who Wants to Wear a Dress?,A new approach to parenting gender-fluid children.,Other,/2012/08/12/magazine/whats-so-bad-about-a-boy-who-wants-to-wear-a-dress.html?searchResultPosition=12
370,2012-09-22,US New,New York,"Since Suicide, More Resources for Transgender and Gay Students","Rutgers University has rolled out more specialized housing options and other resources for its gay, lesbian, bisexual and transgender students in the wake of Tyler Clementi’s death.",Transgender,/2012/09/22/nyregion/after-clementis-suicide-rutgers-embraces-its-gay-and-transgender-students.html?searchResultPosition=23
371,2012-10-12,World News,Asia Pacific,Malaysian Court Rejects Challenge to Cross-Dressing Ban,"An application to review an Islamic law that bars Muslim men from dressing as women was rejected on Thursday, raising fears that transgender people could face increasing prosecutions.",Transgender,/2012/10/12/world/asia/malaysian-court-rejects-challenge-to-cross-dressing-ban.html?searchResultPosition=9
372,2012-10-20,Misc,Opinion,Shades of Gay,"In a recent national survey, people of color were more likely than whites to identify themselves as lesbian, gay, bisexual or transgender.",Transgender,/2012/10/20/opinion/blow-shades-of-gay.html?searchResultPosition=87
373,2012-10-22,US New,New York,"Ethel Person, Who Studied Sexual Fantasies, Dies at 77","Dr. Person was a psychiatrist who examined what motivates transsexuals and transvestites, and argued that people shaped their lives by trying to live out their desires.",Transsexual,/2012/10/22/nyregion/ethel-person-who-studied-sexual-fantasies-dies-at-77.html?searchResultPosition=7
374,2012-11-04,World News,Asia Pacific,"Gay Pakistanis, Still in Shadows, Seek Acceptance","A support group in Lahore for lesbian, gay, bisexual and transgender Pakistanis aims to give a safe space to members as more try to gain family support, even in a climate of religious conservatism.",Transgender,/2012/11/04/world/asia/gays-in-pakistan-move-cautiously-to-gain-acceptance.html?searchResultPosition=5
375,2012-12-02,Life,Love,"Brenda Fulton, Penelope Gnesin","A founder of an organization that helps gay, lesbian, bisexual and transgender service members and veterans marries a choir director.",Transgender,/2012/12/02/fashion/weddings/brenda-fulton-penelope-gnesin-weddings.html?searchResultPosition=84
376,2012-12-12,Misc,Opinion,Transgender Bias,A gay rights organization urges legislation to ban discrimination.,Transgender,/2012/12/12/opinion/transgender-bias.html?searchResultPosition=17
377,2013-01-10,Arts,Fashion,Generation LGBTQIA,"The new vanguard of gender activists wants a broad, inclusive way to describe sexual minorities.",Other,/2013/01/10/fashion/generation-lgbtqia.html?searchResultPosition=142
378,2013-01-10,US New,Politics,Washington National Cathedral Announces It Will Hold Same-Sex Weddings,The cathedral’s dean said on Wednesday that they wanted to give gay and transgender people “the same tools for living their lives faithfully that straight people have always had.”,Transgender,/2013/01/10/us/politics/washington-national-cathedral-to-hold-same-sex-weddings.html?searchResultPosition=196
379,2013-01-29,US New,U.S.,"Sewers, Curfews and a Ban on Gay Bias","Vicco, Ky., population 335, became the smallest municipality in the state to enact an ordinance that bans discrimination against anyone based on sexual orientation or gender identity.",Other,/2013/01/29/us/vicco-kentucky-passes-ban-on-gay-bias.html?searchResultPosition=547
380,2013-02-02,US New,New York,Son’s Suicide Leads to Aid for Students,Tyler Clementi’s parents and Rutgers officials will work together through a new center that will focus on students making the transition to college.,Other,/2013/02/02/nyregion/tyler-clementis-parents-work-with-rutgers-through-new-center.html?searchResultPosition=351
381,2013-02-07,Arts,Fashion,At the Vortex of Music and Fashion,"Honey Dijon, the popular house-music D.J., finds herself a role model for transgender people.",Transgender,/2013/02/07/fashion/talking-to-honey-dijon-a-fashion-forward-dj.html?searchResultPosition=177
382,2013-02-13,US New,Education,College Health Plans Respond as Transgender Students Gain Visibility,"Administrators at several campuses said it was students who brought the issue to their attention, part of a push to accommodate transgender students.",Transgender,/2013/02/13/education/12sexchange.html?searchResultPosition=62
383,2013-03-05,Misc,Booming,When James Becomes Janice: What Not to Ask a Transgender Friend,Supporting a transgender friend  is not only good manners but also about being an ally to those who too often face bias.,Transgender,/2013/03/05/booming/when-james-becomes-janice-what-not-to-ask-a-transgender-friend.html?searchResultPosition=60
384,2013-03-16,US New,Americas,A Transgender Elected Official Reflects an Evolving Cuba,Adela Hernández instantly became a national symbol for Cuban rights activists when she was elected last fall to the municipal council in Caibarién.,Transgender,/2013/03/16/world/americas/a-transgender-elected-official-reflects-an-evolving-cuba.html?searchResultPosition=56
385,2013-03-18,US New,U.S.,Dispute on Transgender Rights Unfolds at a Colorado School,A legal dispute over the right to use a school bathroom is unfolding in Colorado as other states seek to clarify their policies relating to transgender students.,Transgender,/2013/03/18/us/in-colorado-a-legal-dispute-over-transgender-rights.html?searchResultPosition=53
386,2013-03-24,Misc,Sunday Review,Heightened Scrutiny,The justices should be as dubious about distinctions based on sexual orientation as on gender.,Other,/2013/03/24/opinion/sunday/heightened-scrutiny-of-proposition-8-and-doma.html?searchResultPosition=186
387,2013-04-07,US New,New York,Arrests by the Fashion Police,"The elasticity that officers in New York have been given to police quality-of-life violations has left transgender women, especially, susceptible to the charge that they must be engaged in sex work.",Transgender,/2013/04/07/nyregion/arrests-by-the-fashion-police.html?searchResultPosition=120
388,2013-04-21,Life,Love,"Rachel Isaacs, Melanie Weiss","A rabbi who is the spiritual leader at Colby College marries the communications associate of Keshet, a Boston-based advocacy group for gay, lesbian, bisexual and transgender Jews.",Transgender,/2013/04/21/fashion/weddings/rachel-isaacs-melanie-weiss-weddings.html?searchResultPosition=136
389,2013-05-07,US New,U.S.,"Changing Sex, and Changing Teams",More than half a dozen states have adopted rules to allow transgender high school students to compete on teams that correspond with their gender identities rather than the sex listed on their school records.,Transgender,/2013/05/07/us/transgender-high-school-students-gain-admission-to-sports-teams.html?searchResultPosition=100
390,2013-05-11,Misc,Opinion,Beyond Basketball and Bigotry,It’s past time to address a profound impediment to real equality: workplace discrimination based on sexual orientation and gender identity.,Other,/2013/05/11/opinion/beyond-basketball-and-bigotry-workplace-discrimination-based-on-sexual-orientation.html?searchResultPosition=130
391,2013-05-13,Sports,Sports,"A Pioneer, Reluctantly",Fallon Fox is the first openly transgender athlete in mixed martial arts and the most prominent in a professional sport in decades.,Transgender,/2013/05/13/sports/for-transgender-fighter-fallon-fox-there-is-solace-in-the-cage.html?searchResultPosition=159
392,2013-06-13,Misc,Opinion,Civil Rights for Transgender People,It is time for New York State lawmakers to extend basic civil rights protections to transgender people.,Transgender,/2013/06/13/opinion/civil-rights-for-transgenders.html?searchResultPosition=38
393,2013-06-24,US New,U.S.,Rights Unit Finds Bias Against Transgender Student,"A Colorado school district discriminated against a transgender first grader when it refused to let her use the girl’s bathroom, the state’s civil rights division determined.",Transgender,/2013/06/24/us/agency-says-district-discriminated-against-transgender-student.html?searchResultPosition=50
394,2013-06-26,Arts,Media,Commercials With a Gay Emphasis Are Moving to Mainstream Media,"Until recently, ads with lesbian, gay, bisexual and transgender themes were usually limited to media those consumers watched and read.",Transgender,/2013/06/26/business/media/commercials-with-a-gay-emphasis-are-moving-to-mainstream-media.html?searchResultPosition=265
395,2013-06-26,Misc,Opinion,Invitation to a Dialogue: Gender Identity,A psychiatrist discusses how to treat children who see themselves as the opposite gender. Readers are invited to reply.,Other,/2013/06/26/opinion/invitation-to-a-dialogue-gender-identity.html?searchResultPosition=640
396,2013-06-30,Misc,Sunday Review,Sunday Dialogue: Our Notions of Gender,"When a child identifies with the other gender, what to do?",Other,/2013/06/30/opinion/sunday/sunday-dialogue-our-notions-of-gender.html?searchResultPosition=643
397,2013-08-01,Misc,Opinion,The Next Civil Rights Frontier,The federal government takes a stand against gender-identity discrimination.,Other,/2013/08/01/opinion/the-next-civil-rights-frontier.html?searchResultPosition=124
398,2013-08-13,US New,U.S.,California: Rights Guaranteed for Transgender Students,"Gov. Jerry Brown signed legislation that guarantees transgender students access to interscholastic sports, gym classes, locker rooms and bathrooms based on their gender identity.",Transgender,/2013/08/13/us/california-rights-guaranteed-for-transgender-students.html?searchResultPosition=46
399,2013-08-16,Misc,Opinion,Transgender Students,The superintendent of the Arcadia Unified School District in California responds to an editorial critical of its treatment of a student identifying as male.,Transgender,/2013/08/16/opinion/transgender-students.html?searchResultPosition=89
400,2013-08-21,Misc,Opinion,Boycotting Vodka Won’t Help Russia’s Gays,"The prospects for the vodka boycott’s succeeding are slim, and the potential for it to backfire on gay, lesbian, bisexual and transgender Russians is high.",Transgender,/2013/08/21/opinion/boycotting-vodka-wont-help-russias-gays.html?searchResultPosition=262
401,2013-08-24,World News,Global Opinion,AIDS and Clinical Services,"Until services can meet the needs of sex workers, drug users and transgender people without judgment or prejudice, the end of AIDS will remain out of reach.",Transgender,/2013/08/24/opinion/global/aids-and-clinical-services.html?searchResultPosition=644
402,2013-08-24,US New,New York,Transgender Woman Dies in a Possible Hate Crime,"Islan Nettles was declared brain-dead on Thursday, five days after a fight in which antigay slurs had been shouted, the New York police said they were told.",Transgender,/2013/08/24/nyregion/beating-death-of-transgender-woman-is-investigated-as-hate-crime.html?searchResultPosition=49
403,2013-08-28,Misc,Opinion,Private Manning’s Transition,The Army should give Chelsea Manning appropriate medical care and safe housing during her prison term.,Other,/2013/08/28/opinion/private-mannings-transition.html?searchResultPosition=105
404,2013-09-01,Arts,Movies,Exploring Gender and Sexuality,"Sex, in all its variety, some of it explicit, is the main subject of NewFest, the New York L.G.B.T. Festival.",Other,/2013/09/01/movies/exploring-gender-and-sexuality.html?searchResultPosition=213
405,2013-09-06,Arts,Movies,Putting the Sex in Homosexuality,"The 25th edition of NewFest, which features films on gay, lesbian, bisexual and transgender issues, appears mostly concerned with primal physical acts between same-sex couples.",Transgender,/2013/09/06/movies/newfest-of-gay-films-opens-at-lincoln-center.html?searchResultPosition=289
